Config 1: lr3e-4_do0.10_L4_ep50
Device: cuda
Train: 159, Val: 28
Building dataset...
  59601 trials (14.0s)
Params: 2,192,002
Ep   1/50 | loss=0.0564 | val_r2=0.4591 * | lr=1.20e-04 | 12s
Ep   2/50 | loss=0.0399 | val_r2=0.5750 * | lr=1.80e-04 | 11s
Ep   3/50 | loss=0.0334 | val_r2=0.5961 * | lr=2.40e-04 | 10s
Ep   4/50 | loss=0.0296 | val_r2=0.5842  | lr=3.00e-04 | 10s
Ep   5/50 | loss=0.0271 | val_r2=0.6220 * | lr=3.00e-04 | 10s
Ep   6/50 | loss=0.0246 | val_r2=0.6759 * | lr=3.00e-04 | 10s
Ep   7/50 | loss=0.0228 | val_r2=0.6842 * | lr=2.99e-04 | 10s
Ep   8/50 | loss=0.0212 | val_r2=0.6431  | lr=2.97e-04 | 11s
Ep   9/50 | loss=0.0199 | val_r2=0.6629  | lr=2.94e-04 | 10s
Ep  10/50 | loss=0.0189 | val_r2=0.6783  | lr=2.91e-04 | 10s
Ep  11/50 | loss=0.0178 | val_r2=0.6513  | lr=2.87e-04 | 10s
Ep  12/50 | loss=0.0170 | val_r2=0.6539  | lr=2.83e-04 | 10s
Ep  13/50 | loss=0.0162 | val_r2=0.6733  | lr=2.77e-04 | 10s
Ep  14/50 | loss=0.0153 | val_r2=0.6573  | lr=2.72e-04 | 10s
Ep  15/50 | loss=0.0149 | val_r2=0.6739  | lr=2.65e-04 | 10s
Ep  16/50 | loss=0.0141 | val_r2=0.6797  | lr=2.58e-04 | 10s
Ep  17/50 | loss=0.0136 | val_r2=0.6397  | lr=2.51e-04 | 10s
Ep  18/50 | loss=0.0131 | val_r2=0.6630  | lr=2.43e-04 | 10s
Ep  19/50 | loss=0.0126 | val_r2=0.6511  | lr=2.35e-04 | 11s
Ep  20/50 | loss=0.0122 | val_r2=0.6160  | lr=2.26e-04 | 11s
Ep  21/50 | loss=0.0117 | val_r2=0.6395  | lr=2.17e-04 | 11s
Ep  22/50 | loss=0.0114 | val_r2=0.6343  | lr=2.07e-04 | 11s
Ep  23/50 | loss=0.0110 | val_r2=0.6096  | lr=1.97e-04 | 11s
Ep  24/50 | loss=0.0106 | val_r2=0.5988  | lr=1.87e-04 | 11s
Ep  25/50 | loss=0.0102 | val_r2=0.5917  | lr=1.77e-04 | 10s
Ep  26/50 | loss=0.0099 | val_r2=0.5948  | lr=1.67e-04 | 11s
Ep  27/50 | loss=0.0094 | val_r2=0.6209  | lr=1.57e-04 | 11s
Ep  28/50 | loss=0.0091 | val_r2=0.5952  | lr=1.46e-04 | 11s
Ep  29/50 | loss=0.0087 | val_r2=0.6133  | lr=1.36e-04 | 10s
Ep  30/50 | loss=0.0084 | val_r2=0.6264  | lr=1.26e-04 | 10s
Ep  31/50 | loss=0.0081 | val_r2=0.5985  | lr=1.16e-04 | 10s
Ep  32/50 | loss=0.0078 | val_r2=0.5686  | lr=1.06e-04 | 11s
Ep  33/50 | loss=0.0075 | val_r2=0.6013  | lr=9.59e-05 | 11s
Ep  34/50 | loss=0.0072 | val_r2=0.6078  | lr=8.64e-05 | 10s
Ep  35/50 | loss=0.0070 | val_r2=0.5932  | lr=7.73e-05 | 10s
Ep  36/50 | loss=0.0068 | val_r2=0.5924  | lr=6.85e-05 | 10s
Ep  37/50 | loss=0.0066 | val_r2=0.5899  | lr=6.01e-05 | 10s
Ep  38/50 | loss=0.0064 | val_r2=0.5852  | lr=5.21e-05 | 10s
Ep  39/50 | loss=0.0062 | val_r2=0.5838  | lr=4.47e-05 | 10s
Ep  40/50 | loss=0.0061 | val_r2=0.5752  | lr=3.77e-05 | 10s
Ep  41/50 | loss=0.0060 | val_r2=0.5854  | lr=3.14e-05 | 10s
Ep  42/50 | loss=0.0059 | val_r2=0.5735  | lr=2.56e-05 | 11s
Ep  43/50 | loss=0.0058 | val_r2=0.5833  | lr=2.04e-05 | 10s
Ep  44/50 | loss=0.0057 | val_r2=0.5748  | lr=1.58e-05 | 10s
Ep  45/50 | loss=0.0056 | val_r2=0.5751  | lr=1.20e-05 | 10s
Ep  46/50 | loss=0.0056 | val_r2=0.5652  | lr=8.75e-06 | 11s
Ep  47/50 | loss=0.0055 | val_r2=0.5753  | lr=6.25e-06 | 10s
Ep  48/50 | loss=0.0055 | val_r2=0.5747  | lr=4.45e-06 | 11s
Ep  49/50 | loss=0.0054 | val_r2=0.5792  | lr=3.36e-06 | 10s
Ep  50/50 | loss=0.0054 | val_r2=0.5760  | lr=3.00e-06 | 11s

Full validation with best model...
Full val R²: 0.4715 (best epoch 7)
Saved config.json, best_model.pt, last_model.pt
Config 1 done: 10m 0s
