Device: cuda
Config: 2s_50ov_nop1
Window: 100 bins (2.0s), stride: 50 (50% overlap)
Outdir: /scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/runs/2s_50ov_nop1
Train: 159, Val: 28, Val subset: 8
Building dataset...
  79863 windows (12.1s)
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/train.py:124: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(enc_layer, num_layers=num_layers)
Params: 2,291,972
Loading pretrained encoder from: /scratch/ml8347/neuroinformatics/project2/phase1/masked_autoencoder/sweep_3325164_5/best_model.pt
  Phase 1 checkpoint: epoch=49, val_nmse=0.7288985848426819
  Transferred 50 tensors, skipped 7
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/train.py:297: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  return loss, {"pos_loss": float(pos_loss), "vel_loss": float(vel_loss), "cons_loss": float(cons_loss)}
Ep  31/50 | loss=0.0193 (pos=0.0186 vel=0.0003 cons=0.0022) | val_r2=0.7446  | lr_enc=3.85e-06 lr_head=1.93e-04 | 23s
Ep  32/50 | loss=0.0192 (pos=0.0185 vel=0.0003 cons=0.0022) | val_r2=0.7474  | lr_enc=3.52e-06 lr_head=1.76e-04 | 23s
Ep  33/50 | loss=0.0190 (pos=0.0183 vel=0.0003 cons=0.0022) | val_r2=0.7504  | lr_enc=3.20e-06 lr_head=1.60e-04 | 23s
Ep  34/50 | loss=0.0189 (pos=0.0183 vel=0.0003 cons=0.0022) | val_r2=0.7471  | lr_enc=2.88e-06 lr_head=1.44e-04 | 23s
Ep  35/50 | loss=0.0189 (pos=0.0182 vel=0.0003 cons=0.0022) | val_r2=0.7447  | lr_enc=2.58e-06 lr_head=1.29e-04 | 23s
Ep  36/50 | loss=0.0188 (pos=0.0181 vel=0.0003 cons=0.0022) | val_r2=0.7509  | lr_enc=2.28e-06 lr_head=1.14e-04 | 23s
Ep  37/50 | loss=0.0187 (pos=0.0180 vel=0.0003 cons=0.0022) | val_r2=0.7484  | lr_enc=2.00e-06 lr_head=1.00e-04 | 23s
Ep  38/50 | loss=0.0186 (pos=0.0180 vel=0.0003 cons=0.0022) | val_r2=0.7466  | lr_enc=1.74e-06 lr_head=8.69e-05 | 24s
Ep  39/50 | loss=0.0185 (pos=0.0178 vel=0.0003 cons=0.0022) | val_r2=0.7497  | lr_enc=1.49e-06 lr_head=7.45e-05 | 23s
Ep  40/50 | loss=0.0185 (pos=0.0178 vel=0.0003 cons=0.0022) | val_r2=0.7525 * | lr_enc=1.26e-06 lr_head=6.29e-05 | 23s
Ep  41/50 | loss=0.0185 (pos=0.0178 vel=0.0003 cons=0.0022) | val_r2=0.7515  | lr_enc=1.05e-06 lr_head=5.23e-05 | 23s
Ep  42/50 | loss=0.0184 (pos=0.0177 vel=0.0003 cons=0.0022) | val_r2=0.7538 * | lr_enc=8.52e-07 lr_head=4.26e-05 | 23s
Ep  43/50 | loss=0.0184 (pos=0.0177 vel=0.0003 cons=0.0022) | val_r2=0.7516  | lr_enc=6.79e-07 lr_head=3.40e-05 | 24s
Ep  44/50 | loss=0.0183 (pos=0.0177 vel=0.0003 cons=0.0022) | val_r2=0.7505  | lr_enc=5.28e-07 lr_head=2.64e-05 | 23s
Ep  45/50 | loss=0.0183 (pos=0.0176 vel=0.0003 cons=0.0022) | val_r2=0.7534  | lr_enc=3.99e-07 lr_head=1.99e-05 | 24s
Ep  46/50 | loss=0.0183 (pos=0.0176 vel=0.0003 cons=0.0022) | val_r2=0.7537  | lr_enc=2.92e-07 lr_head=1.46e-05 | 24s
Ep  47/50 | loss=0.0183 (pos=0.0176 vel=0.0003 cons=0.0022) | val_r2=0.7520  | lr_enc=2.08e-07 lr_head=1.04e-05 | 23s
Ep  48/50 | loss=0.0183 (pos=0.0176 vel=0.0003 cons=0.0022) | val_r2=0.7526  | lr_enc=1.48e-07 lr_head=7.41e-06 | 24s
Ep  49/50 | loss=0.0182 (pos=0.0176 vel=0.0003 cons=0.0022) | val_r2=0.7530  | lr_enc=1.12e-07 lr_head=5.60e-06 | 23s
Ep  50/50 | loss=0.0183 (pos=0.0176 vel=0.0003 cons=0.0022) | val_r2=0.7537  | lr_enc=1.00e-07 lr_head=5.00e-06 | 23s

Full validation with best model...
Full val R²: 0.6259 (best epoch 42)
Saved to /scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/runs/2s_50ov_nop1/
