Device: cuda
Train: 159, Val: 28, Val subset: 8
Building dataset...
  59601 trials (11.6s)
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_decoder/train.py:94: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(enc_layer, num_layers=num_layers)
Params: 2,291,972
Loading pretrained encoder from: /scratch/ml8347/neuroinformatics/project2/phase1/masked_autoencoder/sweep_3325164_5/best_model.pt
  Phase 1 checkpoint: epoch=49, val_nmse=0.7288985848426819
  Transferred 50 tensors, skipped 7
Ep  35/50 | loss=0.0199 (pos=0.0192 vel=0.0002 cons=0.0024) | val_r2=0.7173  | lr_enc=2.58e-06 lr_head=1.29e-04 | 19s
Ep  36/50 | loss=0.0198 (pos=0.0191 vel=0.0002 cons=0.0024) | val_r2=0.7235 * | lr_enc=2.28e-06 lr_head=1.14e-04 | 19s
Ep  37/50 | loss=0.0198 (pos=0.0191 vel=0.0002 cons=0.0024) | val_r2=0.7217  | lr_enc=2.00e-06 lr_head=1.00e-04 | 20s
Ep  38/50 | loss=0.0197 (pos=0.0190 vel=0.0002 cons=0.0024) | val_r2=0.7287 * | lr_enc=1.74e-06 lr_head=8.69e-05 | 19s
Ep  39/50 | loss=0.0196 (pos=0.0188 vel=0.0002 cons=0.0024) | val_r2=0.7246  | lr_enc=1.49e-06 lr_head=7.45e-05 | 20s
Ep  40/50 | loss=0.0196 (pos=0.0189 vel=0.0002 cons=0.0024) | val_r2=0.7236  | lr_enc=1.26e-06 lr_head=6.29e-05 | 20s
Ep  41/50 | loss=0.0195 (pos=0.0188 vel=0.0002 cons=0.0024) | val_r2=0.7280  | lr_enc=1.05e-06 lr_head=5.23e-05 | 20s
Ep  42/50 | loss=0.0194 (pos=0.0187 vel=0.0002 cons=0.0024) | val_r2=0.7258  | lr_enc=8.52e-07 lr_head=4.26e-05 | 19s
Ep  43/50 | loss=0.0194 (pos=0.0187 vel=0.0002 cons=0.0024) | val_r2=0.7264  | lr_enc=6.79e-07 lr_head=3.40e-05 | 19s
Ep  44/50 | loss=0.0193 (pos=0.0186 vel=0.0002 cons=0.0024) | val_r2=0.7244  | lr_enc=5.28e-07 lr_head=2.64e-05 | 19s
Ep  45/50 | loss=0.0193 (pos=0.0186 vel=0.0002 cons=0.0024) | val_r2=0.7258  | lr_enc=3.99e-07 lr_head=1.99e-05 | 19s
Ep  46/50 | loss=0.0194 (pos=0.0187 vel=0.0002 cons=0.0024) | val_r2=0.7243  | lr_enc=2.92e-07 lr_head=1.46e-05 | 20s
Ep  47/50 | loss=0.0193 (pos=0.0186 vel=0.0002 cons=0.0024) | val_r2=0.7255  | lr_enc=2.08e-07 lr_head=1.04e-05 | 19s
Ep  48/50 | loss=0.0193 (pos=0.0186 vel=0.0002 cons=0.0024) | val_r2=0.7255  | lr_enc=1.48e-07 lr_head=7.41e-06 | 19s
Ep  49/50 | loss=0.0192 (pos=0.0185 vel=0.0002 cons=0.0024) | val_r2=0.7256  | lr_enc=1.12e-07 lr_head=5.60e-06 | 19s
Ep  50/50 | loss=0.0193 (pos=0.0186 vel=0.0002 cons=0.0024) | val_r2=0.7260  | lr_enc=1.00e-07 lr_head=5.00e-06 | 19s

Full validation with best model...
Full val R²: 0.6077 (best epoch 38)
Saved config.json, best_model.pt, last_model.pt
