Device: cuda
Config: 20s_75ov_nop1
Window: 1000 bins (20.0s), stride: 250 (75% overlap)
Outdir: /scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/runs/20s_75ov_nop1
Train: 159, Val: 28, Val subset: 8
Building dataset...
  16035 windows (12.7s)
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/train.py:124: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(enc_layer, num_layers=num_layers)
Params: 2,291,972
Loading pretrained encoder from: /scratch/ml8347/neuroinformatics/project2/phase1/masked_autoencoder/sweep_3325164_5/best_model.pt
  Phase 1 checkpoint: epoch=49, val_nmse=0.7288985848426819
  Transferred 50 tensors, skipped 7
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/train.py:297: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  return loss, {"pos_loss": float(pos_loss), "vel_loss": float(vel_loss), "cons_loss": float(cons_loss)}
Ep  31/50 | loss=0.0412 (pos=0.0395 vel=0.0004 cons=0.0057) | val_r2=-0.0889  | lr_enc=3.85e-06 lr_head=1.93e-04 | 21s
Ep  32/50 | loss=0.0407 (pos=0.0391 vel=0.0004 cons=0.0057) | val_r2=-0.1212  | lr_enc=3.52e-06 lr_head=1.76e-04 | 21s
Ep  33/50 | loss=0.0405 (pos=0.0388 vel=0.0004 cons=0.0057) | val_r2=-0.1367  | lr_enc=3.20e-06 lr_head=1.60e-04 | 21s
Ep  34/50 | loss=0.0402 (pos=0.0386 vel=0.0004 cons=0.0057) | val_r2=-0.0738  | lr_enc=2.88e-06 lr_head=1.44e-04 | 21s
Ep  35/50 | loss=0.0400 (pos=0.0383 vel=0.0004 cons=0.0057) | val_r2=-0.0896  | lr_enc=2.58e-06 lr_head=1.29e-04 | 21s
Ep  36/50 | loss=0.0398 (pos=0.0382 vel=0.0004 cons=0.0057) | val_r2=-0.1244  | lr_enc=2.28e-06 lr_head=1.14e-04 | 21s
Ep  37/50 | loss=0.0396 (pos=0.0380 vel=0.0004 cons=0.0057) | val_r2=-0.1356  | lr_enc=2.00e-06 lr_head=1.00e-04 | 21s
Ep  38/50 | loss=0.0394 (pos=0.0378 vel=0.0004 cons=0.0057) | val_r2=-0.1057  | lr_enc=1.74e-06 lr_head=8.69e-05 | 21s
Ep  39/50 | loss=0.0393 (pos=0.0377 vel=0.0004 cons=0.0057) | val_r2=-0.0982  | lr_enc=1.49e-06 lr_head=7.45e-05 | 21s
Ep  40/50 | loss=0.0391 (pos=0.0375 vel=0.0004 cons=0.0057) | val_r2=-0.1283  | lr_enc=1.26e-06 lr_head=6.29e-05 | 21s
Ep  41/50 | loss=0.0391 (pos=0.0375 vel=0.0004 cons=0.0057) | val_r2=-0.1463  | lr_enc=1.05e-06 lr_head=5.23e-05 | 21s
Ep  42/50 | loss=0.0389 (pos=0.0373 vel=0.0004 cons=0.0057) | val_r2=-0.1063  | lr_enc=8.52e-07 lr_head=4.26e-05 | 21s
Ep  43/50 | loss=0.0388 (pos=0.0372 vel=0.0004 cons=0.0057) | val_r2=-0.1370  | lr_enc=6.79e-07 lr_head=3.40e-05 | 21s
Ep  44/50 | loss=0.0388 (pos=0.0372 vel=0.0004 cons=0.0057) | val_r2=-0.1202  | lr_enc=5.28e-07 lr_head=2.64e-05 | 21s
Ep  45/50 | loss=0.0387 (pos=0.0371 vel=0.0004 cons=0.0057) | val_r2=-0.1351  | lr_enc=3.99e-07 lr_head=1.99e-05 | 21s
Ep  46/50 | loss=0.0387 (pos=0.0371 vel=0.0004 cons=0.0057) | val_r2=-0.1264  | lr_enc=2.92e-07 lr_head=1.46e-05 | 21s
Ep  47/50 | loss=0.0386 (pos=0.0370 vel=0.0004 cons=0.0057) | val_r2=-0.1113  | lr_enc=2.08e-07 lr_head=1.04e-05 | 21s
Ep  48/50 | loss=0.0387 (pos=0.0371 vel=0.0004 cons=0.0057) | val_r2=-0.1074  | lr_enc=1.48e-07 lr_head=7.41e-06 | 21s
Ep  49/50 | loss=0.0386 (pos=0.0370 vel=0.0004 cons=0.0057) | val_r2=-0.1278  | lr_enc=1.12e-07 lr_head=5.60e-06 | 21s
Ep  50/50 | loss=0.0386 (pos=0.0370 vel=0.0004 cons=0.0057) | val_r2=-0.1331  | lr_enc=1.00e-07 lr_head=5.00e-06 | 21s

Full validation with best model...
Full val R²: -0.1178 (best epoch 30)
Saved to /scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/runs/20s_75ov_nop1/
