Device: cuda
Train: 159, Val: 28, Val subset: 8
Building dataset...
  59601 trials (11.9s)
/scratch/ml8347/neuroinformatics/project2/phase2/mae_context_partial_ft/train.py:82: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(enc_layer, num_layers=num_layers)
Params: 2,497,028
Loading pretrained encoder from: /scratch/ml8347/neuroinformatics/project2/phase1/masked_autoencoder/sweep_3325164_5/best_model.pt
  Phase 1 checkpoint: epoch=49, val_nmse=0.7288985848426819
  Transferred 50 tensors, skipped 7
  Partial FT: unfreezing last 2/4 encoder layers
Ep  35/50 | loss=0.0210 (pos=0.0202 vel=0.0002 cons=0.0037) | val_r2=0.5924  | lr_enc=2.58e-06 lr_head=1.03e-04 | 16s
Ep  36/50 | loss=0.0210 (pos=0.0201 vel=0.0002 cons=0.0037) | val_r2=0.5974  | lr_enc=2.28e-06 lr_head=9.13e-05 | 16s
Ep  37/50 | loss=0.0208 (pos=0.0200 vel=0.0002 cons=0.0037) | val_r2=0.6000  | lr_enc=2.00e-06 lr_head=8.01e-05 | 16s
Ep  38/50 | loss=0.0208 (pos=0.0199 vel=0.0002 cons=0.0037) | val_r2=0.6078  | lr_enc=1.74e-06 lr_head=6.95e-05 | 16s
Ep  39/50 | loss=0.0207 (pos=0.0198 vel=0.0002 cons=0.0037) | val_r2=0.6145  | lr_enc=1.49e-06 lr_head=5.96e-05 | 15s
Ep  40/50 | loss=0.0207 (pos=0.0198 vel=0.0002 cons=0.0037) | val_r2=0.6061  | lr_enc=1.26e-06 lr_head=5.03e-05 | 15s
Ep  41/50 | loss=0.0206 (pos=0.0197 vel=0.0002 cons=0.0037) | val_r2=0.6043  | lr_enc=1.05e-06 lr_head=4.18e-05 | 15s
Ep  42/50 | loss=0.0205 (pos=0.0197 vel=0.0002 cons=0.0037) | val_r2=0.6049  | lr_enc=8.52e-07 lr_head=3.41e-05 | 15s
Ep  43/50 | loss=0.0205 (pos=0.0196 vel=0.0002 cons=0.0037) | val_r2=0.6082  | lr_enc=6.79e-07 lr_head=2.72e-05 | 16s
Ep  44/50 | loss=0.0204 (pos=0.0196 vel=0.0002 cons=0.0037) | val_r2=0.6144  | lr_enc=5.28e-07 lr_head=2.11e-05 | 16s
Ep  45/50 | loss=0.0204 (pos=0.0195 vel=0.0002 cons=0.0037) | val_r2=0.6144  | lr_enc=3.99e-07 lr_head=1.59e-05 | 15s
Ep  46/50 | loss=0.0203 (pos=0.0194 vel=0.0002 cons=0.0037) | val_r2=0.6154  | lr_enc=2.92e-07 lr_head=1.17e-05 | 15s
Ep  47/50 | loss=0.0204 (pos=0.0195 vel=0.0002 cons=0.0037) | val_r2=0.6129  | lr_enc=2.08e-07 lr_head=8.33e-06 | 15s
Ep  48/50 | loss=0.0203 (pos=0.0194 vel=0.0002 cons=0.0037) | val_r2=0.6113  | lr_enc=1.48e-07 lr_head=5.93e-06 | 15s
Ep  49/50 | loss=0.0203 (pos=0.0195 vel=0.0002 cons=0.0037) | val_r2=0.6128  | lr_enc=1.12e-07 lr_head=4.48e-06 | 15s
Ep  50/50 | loss=0.0202 (pos=0.0194 vel=0.0002 cons=0.0037) | val_r2=0.6117  | lr_enc=1.00e-07 lr_head=4.00e-06 | 16s

Full validation with best model...
Full val R²: 0.5615 (best epoch 28)
Saved config.json, best_model.pt, last_model.pt
