Device: cuda
Train: 159, Val: 28, Val subset: 8
Building dataset...
  31989 windows (13.2s)
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_decoder_10s_75ov/train.py:101: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(enc_layer, num_layers=num_layers)
Params: 2,291,972
Loading pretrained encoder from: /scratch/ml8347/neuroinformatics/project2/phase1/masked_autoencoder/sweep_3325164_5/best_model.pt
  Phase 1 checkpoint: epoch=49, val_nmse=0.7288985848426819
  Transferred 50 tensors, skipped 7
Ep  35/50 | loss=0.0275 (pos=0.0263 vel=0.0003 cons=0.0042) | val_r2=0.4489  | lr_enc=2.58e-06 lr_head=1.29e-04 | 20s
Ep  36/50 | loss=0.0274 (pos=0.0262 vel=0.0003 cons=0.0042) | val_r2=0.4574  | lr_enc=2.28e-06 lr_head=1.14e-04 | 20s
Ep  37/50 | loss=0.0272 (pos=0.0260 vel=0.0003 cons=0.0042) | val_r2=0.4559  | lr_enc=2.00e-06 lr_head=1.00e-04 | 20s
Ep  38/50 | loss=0.0272 (pos=0.0260 vel=0.0003 cons=0.0041) | val_r2=0.4475  | lr_enc=1.74e-06 lr_head=8.69e-05 | 20s
Ep  39/50 | loss=0.0270 (pos=0.0258 vel=0.0003 cons=0.0041) | val_r2=0.4333  | lr_enc=1.49e-06 lr_head=7.45e-05 | 20s
Ep  40/50 | loss=0.0269 (pos=0.0257 vel=0.0003 cons=0.0041) | val_r2=0.4631 * | lr_enc=1.26e-06 lr_head=6.29e-05 | 20s
Ep  41/50 | loss=0.0269 (pos=0.0257 vel=0.0003 cons=0.0041) | val_r2=0.4525  | lr_enc=1.05e-06 lr_head=5.23e-05 | 20s
Ep  42/50 | loss=0.0268 (pos=0.0256 vel=0.0003 cons=0.0041) | val_r2=0.4430  | lr_enc=8.52e-07 lr_head=4.26e-05 | 20s
Ep  43/50 | loss=0.0268 (pos=0.0256 vel=0.0003 cons=0.0041) | val_r2=0.4541  | lr_enc=6.79e-07 lr_head=3.40e-05 | 20s
Ep  44/50 | loss=0.0267 (pos=0.0255 vel=0.0003 cons=0.0041) | val_r2=0.4546  | lr_enc=5.28e-07 lr_head=2.64e-05 | 20s
Ep  45/50 | loss=0.0267 (pos=0.0255 vel=0.0003 cons=0.0041) | val_r2=0.4494  | lr_enc=3.99e-07 lr_head=1.99e-05 | 20s
Ep  46/50 | loss=0.0266 (pos=0.0254 vel=0.0003 cons=0.0041) | val_r2=0.4519  | lr_enc=2.92e-07 lr_head=1.46e-05 | 20s
Ep  47/50 | loss=0.0266 (pos=0.0254 vel=0.0003 cons=0.0041) | val_r2=0.4492  | lr_enc=2.08e-07 lr_head=1.04e-05 | 20s
Ep  48/50 | loss=0.0266 (pos=0.0254 vel=0.0003 cons=0.0041) | val_r2=0.4530  | lr_enc=1.48e-07 lr_head=7.41e-06 | 20s
Ep  49/50 | loss=0.0266 (pos=0.0254 vel=0.0003 cons=0.0041) | val_r2=0.4564  | lr_enc=1.12e-07 lr_head=5.60e-06 | 20s
Ep  50/50 | loss=0.0266 (pos=0.0254 vel=0.0003 cons=0.0041) | val_r2=0.4494  | lr_enc=1.00e-07 lr_head=5.00e-06 | 20s

Full validation with best model...
Full val R²: 0.3755 (best epoch 40)
Saved config.json, best_model.pt, last_model.pt
