Device: cuda
Config: 10s_50ov_nop1
Window: 500 bins (10.0s), stride: 250 (50% overlap)
Outdir: /scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/runs/10s_50ov_nop1
Train: 159, Val: 28, Val subset: 8
Building dataset...
  16035 windows (10.9s)
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/train.py:124: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(enc_layer, num_layers=num_layers)
Params: 2,291,972
Loading pretrained encoder from: /scratch/ml8347/neuroinformatics/project2/phase1/masked_autoencoder/sweep_3325164_5/best_model.pt
  Phase 1 checkpoint: epoch=49, val_nmse=0.7288985848426819
  Transferred 50 tensors, skipped 7
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_sweep/train.py:297: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  return loss, {"pos_loss": float(pos_loss), "vel_loss": float(vel_loss), "cons_loss": float(cons_loss)}
Ep  31/50 | loss=0.0364 (pos=0.0350 vel=0.0004 cons=0.0050) | val_r2=0.3277 * | lr_enc=3.85e-06 lr_head=1.93e-04 | 19s
Ep  32/50 | loss=0.0361 (pos=0.0347 vel=0.0004 cons=0.0050) | val_r2=0.2880  | lr_enc=3.52e-06 lr_head=1.76e-04 | 19s
Ep  33/50 | loss=0.0359 (pos=0.0345 vel=0.0004 cons=0.0050) | val_r2=0.2874  | lr_enc=3.20e-06 lr_head=1.60e-04 | 19s
Ep  34/50 | loss=0.0358 (pos=0.0344 vel=0.0004 cons=0.0049) | val_r2=0.2959  | lr_enc=2.88e-06 lr_head=1.44e-04 | 19s
Ep  35/50 | loss=0.0355 (pos=0.0341 vel=0.0004 cons=0.0049) | val_r2=0.3252  | lr_enc=2.58e-06 lr_head=1.29e-04 | 19s
Ep  36/50 | loss=0.0353 (pos=0.0339 vel=0.0004 cons=0.0049) | val_r2=0.3113  | lr_enc=2.28e-06 lr_head=1.14e-04 | 19s
Ep  37/50 | loss=0.0352 (pos=0.0338 vel=0.0004 cons=0.0049) | val_r2=0.2906  | lr_enc=2.00e-06 lr_head=1.00e-04 | 19s
Ep  38/50 | loss=0.0351 (pos=0.0337 vel=0.0004 cons=0.0049) | val_r2=0.2999  | lr_enc=1.74e-06 lr_head=8.69e-05 | 19s
Ep  39/50 | loss=0.0350 (pos=0.0336 vel=0.0004 cons=0.0049) | val_r2=0.3227  | lr_enc=1.49e-06 lr_head=7.45e-05 | 19s
Ep  40/50 | loss=0.0348 (pos=0.0334 vel=0.0004 cons=0.0049) | val_r2=0.3153  | lr_enc=1.26e-06 lr_head=6.29e-05 | 19s
Ep  41/50 | loss=0.0347 (pos=0.0333 vel=0.0004 cons=0.0049) | val_r2=0.3177  | lr_enc=1.05e-06 lr_head=5.23e-05 | 19s
Ep  42/50 | loss=0.0346 (pos=0.0332 vel=0.0004 cons=0.0049) | val_r2=0.3197  | lr_enc=8.52e-07 lr_head=4.26e-05 | 19s
Ep  43/50 | loss=0.0346 (pos=0.0332 vel=0.0004 cons=0.0049) | val_r2=0.3143  | lr_enc=6.79e-07 lr_head=3.40e-05 | 19s
